carat,cut,color,clarity,depth,table,price,x,y,z,price_log,carat_log,volume,price_per_carat,dimension_ratio,carat_category,cut_enc,color_enc,clarity_enc,carat_category_enc,cluster,pca1,pca2,cluster_name
0.23,Ideal,E,SI2,61.5,55.0,27058.0,3.95,3.98,2.43,10.205774946126926,0.20701416938432615,38.20203,117643.47826086955,1.6316872427983538,Light,4,5,1,1,2,-2.936966428060924,-0.3401417584378679,Affordable Small Diamonds
0.21,Premium,E,SI1,59.8,61.0,27058.0,3.89,3.84,2.31,10.205774946126926,0.19062035960864973,34.505856,128847.61904761905,1.6731601731601733,Light,3,5,2,1,2,-2.8252286018958666,2.1998171534147577,Affordable Small Diamonds
0.23,Good,E,VS1,56.9,65.0,27141.0,4.05,4.07,2.31,10.208837622641315,0.20701416938432615,38.076885,118004.34782608695,1.7575757575757578,Light,1,5,4,1,2,-2.5089129750844728,4.623105322600567,Affordable Small Diamonds
0.29,Premium,I,VS2,62.4,58.0,27722.0,4.2,4.23,2.63,10.23001767255615,0.2546422183735807,46.72458,95593.10344827587,1.602661596958175,Light,3,1,3,1,2,-2.14773713060031,0.20651092062637522,Affordable Small Diamonds
0.31,Good,J,SI2,63.3,58.0,27805.0,4.34,4.35,2.75,10.233007103729488,0.27002713721306015,51.917249999999996,89693.54838709677,1.5799999999999998,Light,1,0,1,1,2,-1.3691378626947728,1.2675224428655905,Affordable Small Diamonds
0.24,Very Good,J,VVS2,62.8,57.0,27888.0,3.94,3.96,2.48,10.23598762483351,0.2151113796169455,38.693951999999996,116200.0,1.592741935483871,Light,2,0,5,1,2,-2.657381363415474,0.07838034500183931,Affordable Small Diamonds
0.24,Very Good,I,VVS1,62.3,57.0,27888.0,3.95,3.98,2.47,10.23598762483351,0.2151113796169455,38.830870000000004,116200.0,1.6052631578947367,Light,2,1,6,1,2,-2.884968370393491,0.133412298795452,Affordable Small Diamonds
0.26,Very Good,H,SI1,61.9,55.0,27971.0,4.07,4.11,2.53,10.238959288823757,0.23111172096338664,42.321081,107580.76923076923,1.616600790513834,Light,2,2,2,1,2,-2.3897586353462414,0.16788956237859737,Affordable Small Diamonds
0.22,Fair,E,VS2,65.1,61.0,27971.0,3.87,3.78,2.49,10.238959288823757,0.1988508587451652,36.425214000000004,127140.90909090909,1.536144578313253,Light,0,5,3,1,2,-2.5247642396488454,2.960555466996669,Affordable Small Diamonds
0.23,Very Good,H,VS1,59.4,61.0,28054.0,4.0,4.05,2.39,10.241922148185072,0.20701416938432615,38.718,121973.91304347826,1.6841004184100419,Light,2,2,4,1,2,-2.513204411484721,2.1450385568746677,Affordable Small Diamonds
0.3,Good,J,SI1,64.0,55.0,28137.0,4.25,4.28,2.73,10.244876254937159,0.262364264467491,49.6587,93790.0,1.5622710622710625,Light,1,0,2,1,2,-1.7642833238796387,0.1294537720884365,Affordable Small Diamonds
0.23,Ideal,J,VS1,62.8,56.0,28220.0,3.93,3.9,2.46,10.247821660640062,0.20701416938432615,37.70442,122695.65217391304,1.5914634146341464,Light,4,0,4,1,2,-2.8283217501809674,-1.1752635306532617,Affordable Small Diamonds
0.22,Premium,F,SI1,60.4,61.0,28386.0,3.88,3.84,2.33,10.253686572872523,0.1988508587451652,34.715136,129027.27272727272,1.6566523605150214,Light,3,4,2,1,2,-2.707059017554143,1.997580181852784,Affordable Small Diamonds
0.31,Ideal,J,SI2,62.2,54.0,28552.0,4.35,4.37,2.71,10.259517288372871,0.27002713721306015,51.515744999999995,92103.2258064516,1.6088560885608854,Light,4,0,1,1,2,-1.9185985353136765,-1.4466271641483188,Affordable Small Diamonds
0.2,Premium,E,SI2,60.2,62.0,28635.0,3.79,3.75,2.27,10.262419946516076,0.18232155679395465,32.262375,143175.0,1.6607929515418502,Light,3,5,1,1,2,-2.745187711041207,2.607230144118758,Affordable Small Diamonds
0.32,Premium,E,I1,60.9,58.0,28635.0,4.38,4.42,2.68,10.262419946516076,0.2776317365982795,51.883728000000005,89484.375,1.6417910447761195,Light,3,5,0,1,2,-1.9078655654505807,1.2243097200228743,Affordable Small Diamonds
0.3,Ideal,I,SI2,62.0,54.0,28884.0,4.31,4.34,2.68,10.271077708215365,0.262364264467491,50.130472,96280.0,1.6138059701492533,Light,4,1,1,1,2,-2.0738245852820465,-1.290805356445556,Affordable Small Diamonds
0.3,Good,J,SI1,63.4,54.0,29133.0,4.23,4.29,2.7,10.279661156008894,0.262364264467491,48.99609000000001,97110.0,1.5777777777777775,Light,1,0,2,1,2,-1.8520134598285127,-0.09559646018544042,Affordable Small Diamonds
0.3,Good,J,SI1,63.8,56.0,29133.0,4.23,4.26,2.71,10.279661156008894,0.262364264467491,48.833658,97110.0,1.566420664206642,Light,1,0,2,1,2,-1.7380841054426341,0.47271446888428953,Affordable Small Diamonds
0.3,Very Good,J,SI1,62.7,59.0,29133.0,4.21,4.27,2.66,10.279661156008894,0.262364264467491,47.818022,97110.0,1.593984962406015,Light,2,0,2,1,2,-1.708807538462387,1.019096134591964,Affordable Small Diamonds
0.3,Good,I,SI2,63.3,56.0,29133.0,4.26,4.3,2.71,10.279661156008894,0.262364264467491,49.64177999999999,97110.0,1.5793357933579333,Light,1,1,1,1,2,-1.6709384056414402,0.7810896460203349,Affordable Small Diamonds
